path,folder,filename,num_pages,total_chars,likely_scanned,error,num_liens,domaines
Finance/Les établissements du secteur bancaire (1).pdf,Finance,Les établissements du secteur bancaire (1).pdf,4,8436,False,,3,www.affiches-parisiennes.com;www.bpifrance.fr
Finance/schema general et encours du financement (1).pdf,Finance,schema general et encours du financement (1).pdf,4,10492,False,,7,www.asf-france.com;www.legifrance.gouv.fr
juridique droit du travail/Livre II _ Le contrat de travail (Articles L1211-1 à L1273-6) - Légifrance.pdf,juridique droit du travail,Livre II _ Le contrat de travail (Articles L1211-1 à L1273-6) - Légifrance.pdf,307,583033,False,,4325,www.legifrance.gouv.fr
juridique droit du travail/Livre II _ Le contrat de travail (Articles R1221-1 à D1273-9) - Légifrance.pdf,juridique droit du travail,Livre II _ Le contrat de travail (Articles R1221-1 à D1273-9) - Légifrance.pdf,209,387458,False,,3322,www.legifrance.gouv.fr
juridique droit du travail/particuliers_vosdroits_F31576.pdf,juridique droit du travail,particuliers_vosdroits_F31576.pdf,4,9777,False,,37,www.service-public.gouv.fr
juridique droit du travail/particuliers_vosdroits_F34732.pdf,juridique droit du travail,particuliers_vosdroits_F34732.pdf,5,11845,False,,107,bofip.impots.gouv.fr;entreprendre.service-public.gouv.fr;net-entreprises.custhelp.com;www.economie.gouv.fr;www.legifrance.gouv.fr;www.letese.urssaf.fr;www.net-entreprises.fr;www.service-public.gouv.fr
juridique droit du travail/particuliers_vosdroits_R10338_aide-remarque.pdf,juridique droit du travail,particuliers_vosdroits_R10338_aide-remarque.pdf,4,10203,False,,55,lannuaire.service-public.gouv.fr;www.service-public.gouv.fr
juridique droit du travail/particuliers_vosdroits_R45128_aide-remarque.pdf,juridique droit du travail,particuliers_vosdroits_R45128_aide-remarque.pdf,2,3449,False,,4,www.service-public.gouv.fr
juridique droit du travail/vosdroits_F22570.pdf,juridique droit du travail,vosdroits_F22570.pdf,6,15351,False,,148,boss.gouv.fr;entreprendre.service-public.gouv.fr;net-entreprises.custhelp.com;travail-emploi.gouv.fr;www.insee.fr;www.legifrance.gouv.fr;www.urssaf.fr
Management direction/AMI Pacte Entreprises - Webinaire - Questions réponses - 27 mai 2025.pdf,Management direction,AMI Pacte Entreprises - Webinaire - Questions réponses - 27 mai 2025.pdf,11,8602,False,,1,
Management direction/Appel à Manifestation d'Intérêt Pacte Entreprises - Détails et modalités V5.pdf,Management direction,Appel à Manifestation d'Intérêt Pacte Entreprises - Détails et modalités V5.pdf,12,28262,False,,0,
Management direction/Engager son entreprise pour l'emploi des 50 ans et plus.pdf,Management direction,Engager son entreprise pour l'emploi des 50 ans et plus.pdf,1,92,False,,0,
Management direction/Enquete-INRS-utilisateurs-OiRA-2024.pdf,Management direction,Enquete-INRS-utilisateurs-OiRA-2024.pdf,11,12527,False,,0,
Management direction/FAQ PACTE Entreprises Actualisation 1er aout 2025.pdf,Management direction,FAQ PACTE Entreprises Actualisation 1er aout 2025.pdf,7,13138,False,,0,
Management direction/Guide de catégorisation des dépenses.pdf,Management direction,Guide de catégorisation des dépenses.pdf,7,12097,False,,2,www.ademe.fr
Management direction/Guide de dépôt.pdf,Management direction,Guide de dépôt.pdf,4,7837,False,,2,agirpourlatransition.ademe.fr;www.ademe.fr
Management direction/guide_egalite_tpe_pme_2021.pdf,Management direction,guide_egalite_tpe_pme_2021.pdf,1,92,False,,0,
Management direction/particuliers_vosdroits_F19134.pdf,Management direction,particuliers_vosdroits_F19134.pdf,16,36287,False,,555,agirpourlatransition.ademe.fr;circulaires.legifrance.gouv.fr;entreprendre.service-public.gouv.fr;questions.assemblee-nationale.fr;www.legifrance.gouv.fr;www.service-public.gouv.fr
Management direction/particuliers_vosdroits_F78.pdf,Management direction,particuliers_vosdroits_F78.pdf,5,11081,False,,74,code.travail.gouv.fr;dreets.gouv.fr;entreprendre.service-public.gouv.fr;www.annuaires.justice.gouv.fr;www.legifrance.gouv.fr;www.service-public.gouv.fr
Management direction/Système d'aide au changement de comportement.pdf,Management direction,Système d'aide au changement de comportement.pdf,4,8404,False,,0,
marketing Communication/bpi-cnil-rgpd_guide-tpe-pme.pdf,marketing Communication,bpi-cnil-rgpd_guide-tpe-pme.pdf,54,58597,False,,19,pro.bloctel.fr;www.bpifrance-lelab.fr;www.cnil.fr;www.cybermalveillance.gouv.fr;www.service-public.fr
marketing Communication/lignes_directrices_de_la_cnil_sur_les_cookies_et_autres_traceurs.pdf,marketing Communication,lignes_directrices_de_la_cnil_sur_les_cookies_et_autres_traceurs.pdf,10,28343,False,,1,www.cnil.fr
marketing Communication/Performance_Numerique_10_Fev2015.pdf,marketing Communication,Performance_Numerique_10_Fev2015.pdf,3,7329,False,,2,dordogne.cci.fr;www.dordogne.cci.fr
marketing Communication/Performance_Numerique_11_Mars2015.pdf,marketing Communication,Performance_Numerique_11_Mars2015.pdf,4,10376,False,,1,www.dordogne.cci.fr
marketing Communication/Performance_Numerique_12_Avril2015.pdf,marketing Communication,Performance_Numerique_12_Avril2015.pdf,2,6557,False,,2,www.cnil.fr;www.dordogne.cci.fr
marketing Communication/Performance_Numerique_13_Mai2015.pdf,marketing Communication,Performance_Numerique_13_Mai2015.pdf,4,13401,False,,1,www.dordogne.cci.fr
marketing Communication/Performance_Numerique_14_Juin2015.pdf,marketing Communication,Performance_Numerique_14_Juin2015.pdf,4,11926,False,,1,www.dordogne.cci.fr
marketing Communication/performance_numerique_15_juil2015.pdf,marketing Communication,performance_numerique_15_juil2015.pdf,4,9859,False,,1,www.dordogne.cci.fr
marketing Communication/Performance_Numerique_16_Sept2015.pdf,marketing Communication,Performance_Numerique_16_Sept2015.pdf,3,6728,False,,1,www.dordogne.cci.fr
marketing Communication/Performance_Numerique_17_nov2015.pdf,marketing Communication,Performance_Numerique_17_nov2015.pdf,3,8640,False,,2,dordogne.cci.fr;www.dordogne.cci.fr
marketing Communication/Performance_Numerique_18_janv2016.pdf,marketing Communication,Performance_Numerique_18_janv2016.pdf,4,11047,False,,1,www.dordogne.cci.fr
marketing Communication/Performance_Numerique_19_fevrier2016.pdf,marketing Communication,Performance_Numerique_19_fevrier2016.pdf,3,9447,False,,1,www.dordogne.cci.fr
marketing Communication/Performance_Numerique_20_mars2016.pdf,marketing Communication,Performance_Numerique_20_mars2016.pdf,4,10466,False,,1,www.dordogne.cci.fr
marketing Communication/Performance_Numerique_21_avril2016.pdf,marketing Communication,Performance_Numerique_21_avril2016.pdf,4,11302,False,,1,www.dordogne.cci.fr
marketing Communication/Performance_Numerique_22_mai2016.pdf,marketing Communication,Performance_Numerique_22_mai2016.pdf,4,14633,False,,1,www.dordogne.cci.fr
marketing Communication/Performance_Numerique_23_juin2016.pdf,marketing Communication,Performance_Numerique_23_juin2016.pdf,2,7716,False,,1,www.dordogne.cci.fr
marketing Communication/Performance_Numerique_6_Oct2014.pdf,marketing Communication,Performance_Numerique_6_Oct2014.pdf,4,13590,False,,5,dordogne.cci.fr;webchallenge24.com;www.dordogne.cci.fr
marketing Communication/Performance_Numerique_7_Nov2014.pdf,marketing Communication,Performance_Numerique_7_Nov2014.pdf,4,12476,False,,0,
marketing Communication/Performance_Numerique_8_Dec2014.pdf,marketing Communication,Performance_Numerique_8_Dec2014.pdf,3,11563,False,,1,www.dordogne.cci.fr
marketing Communication/performance_numerique_9_jan2015.pdf,marketing Communication,performance_numerique_9_jan2015.pdf,4,13020,False,,0,
marketing Communication/Performance_numerique_Avril_V1.pdf,marketing Communication,Performance_numerique_Avril_V1.pdf,5,15129,False,,0,
marketing Communication/Performance_numerique_Juillet2014.pdf,marketing Communication,Performance_numerique_Juillet2014.pdf,3,11260,False,,0,
marketing Communication/Performance_numerique_Juin_V1.pdf,marketing Communication,Performance_numerique_Juin_V1.pdf,5,14332,False,,0,
marketing Communication/Performance_numerique_Mai_V1.pdf,marketing Communication,Performance_numerique_Mai_V1.pdf,5,12916,False,,0,
marketing Communication/Performance_numerique_Sept2014.pdf,marketing Communication,Performance_numerique_Sept2014.pdf,3,9922,False,,0,
marketing Communication/recommandation-cookies-et-autres-traceurs.pdf,marketing Communication,recommandation-cookies-et-autres-traceurs.pdf,14,31224,False,,1,www.cnil.fr
marketing Communication/referentiel_grh_novembre_2019_0.pdf,marketing Communication,referentiel_grh_novembre_2019_0.pdf,17,44789,False,,22,ec.europa.eu;www.cnil.fr
marketing Communication/synthese-contributions-cookies-et-autres-traceurs.pdf,marketing Communication,synthese-contributions-cookies-et-autres-traceurs.pdf,7,18717,False,,16,www.cnil.fr
RH/AA-Norme-fichier-declaratif-Diffuseur.pdf,RH,AA-Norme-fichier-declaratif-Diffuseur.pdf,19,25789,False,,8,recouv.sharepoint.com;www.insee.fr
RH/API-DPAE-Fonctionnement.pdf,RH,API-DPAE-Fonctionnement.pdf,13,24461,False,,0,
RH/C3S-Charte-entreprise-controlee.pdf,RH,C3S-Charte-entreprise-controlee.pdf,11,19852,False,,1,
RH/C3S-Notice.pdf,RH,C3S-Notice.pdf,22,54581,False,,28,www.legifrance.gouv.fr;www.net-entreprises.fr;www.urssaf.fr
RH/Engager son entreprise pour l'emploi des 50 ans et plus.pdf,RH,Engager son entreprise pour l'emploi des 50 ans et plus.pdf,1,92,False,,0,
RH/Guide-API-DPAE-Impl.pdf,RH,Guide-API-DPAE-Impl.pdf,8,7435,False,,4,consultation.dpae-edi.urssaf.fr;depot.dpae-edi.urssaf.fr;mon.urssaf.fr;telechargement.dpae-edi.urssaf.fr
RH/Guide-BonusMalus-2026.pdf,RH,Guide-BonusMalus-2026.pdf,57,60555,False,,47,net-entreprises.custhelp.com;travail-emploi.gouv.fr;www.legifrance.gouv.fr;www.net-entreprises.fr;www.unedic.org;www.urssaf.fr
RH/Guide-BonusMalus-assurance-chomage.pdf,RH,Guide-BonusMalus-assurance-chomage.pdf,57,64604,False,,67,net-entreprises.custhelp.com;travail-emploi.gouv.fr;www.legifrance.gouv.fr;www.net-entreprises.fr;www.urssaf.fr
RH/Guide-CFPTA.pdf,RH,Guide-CFPTA.pdf,89,116925,False,,82,boss.gouv.fr;eur01.safelinks.protection.outlook.com;fr.wiktionary.org;quel-est-mon-opco.francecompetences.fr;www.audiens.org;www.legifrance.gouv.fr;www.net-entreprises.fr;www.soltea.education.gouv.fr;www.soltea.gouv.fr;www.urssaf.fr
RH/Guide-CNIEG.pdf,RH,Guide-CNIEG.pdf,52,43534,False,,0,
RH/Guide-CRPCEN.pdf,RH,Guide-CRPCEN.pdf,66,55364,False,,31,net-entreprises.custhelp.com;recouv.sharepoint.com;www.crpcen.fr;www.legifrance.gouv.fr;www.net-entreprises.fr;www.urssaf.fr
RH/Guide-CSE.pdf,RH,Guide-CSE.pdf,16,28710,False,,3,boss.gouv.fr;www.urssaf.fr
RH/Guide-Declarant-Conventionnelles.pdf,RH,Guide-Declarant-Conventionnelles.pdf,24,22770,False,,90,net-entreprises.custhelp.com;www.legifrance.gouv.fr
RH/Guide-declaration-regularisation-cotisations-sociales-Urssaf-DSN.pdf,RH,Guide-declaration-regularisation-cotisations-sociales-Urssaf-DSN.pdf,41,85503,False,,34,boss.gouv.fr;fichierdirect.declaration.urssaf.fr;net-entreprises.custhelp.com;open.urssaf.fr;www.contact.urssaf.fr;www.legifrance.gouv.fr;www.net-entreprises.fr;www.urssaf.fr
RH/Guide-OETH.pdf,RH,Guide-OETH.pdf,111,169541,False,,58,;appuipro.agefiph.fr;mesdemarches.emploi.gouv.fr;net-entreprises.custhelp.com;travail-emploi.gouv.fr;www.agefiph.fr;www.economie.gouv.fr;www.legifrance.gouv.fr;www.net-entreprises.fr;www.urssaf.fr
RH/Guide-PASRAU.pdf,RH,Guide-PASRAU.pdf,196,383252,False,,119,dsn-info.custhelp.com;fichierdirect.declaration.urssaf.fr;www.contact.urssaf.fr;www.net-entreprises.fr;www.urssaf.fr
RH/Guide-Pharma-CA-CNAM.pdf,RH,Guide-Pharma-CA-CNAM.pdf,8,15668,False,,0,
RH/Guide-Pharma-ContributionM.pdf,RH,Guide-Pharma-ContributionM.pdf,13,24524,False,,7,sante.gouv.fr;www.codage.ext.cnamts.fr;www.contact.urssaf.fr;www.urssaf.fr
RH/Guide-Pharma-DispositifsMedicaux.pdf,RH,Guide-Pharma-DispositifsMedicaux.pdf,10,20936,False,,2,www.ameli.fr
RH/Guide-Pharma-PromoMedicaments.pdf,RH,Guide-Pharma-PromoMedicaments.pdf,12,32662,False,,0,
RH/Guide-pratique-VenteEnGros.pdf,RH,Guide-pratique-VenteEnGros.pdf,12,20852,False,,0,
RH/Guide-RevenusDeRemplacement.pdf,RH,Guide-RevenusDeRemplacement.pdf,7,11832,False,,0,
RH/Guide-TSA-2025.pdf,RH,Guide-TSA-2025.pdf,18,30798,False,,1,www.urssaf.fr
RH/Guide-TSA-2026.pdf,RH,Guide-TSA-2026.pdf,18,31453,False,,1,www.urssaf.fr
RH/PPN-Annexes-Contrat-Interface-Declaration-Schemas-XSD-FR.pdf,RH,PPN-Annexes-Contrat-Interface-Declaration-Schemas-XSD-FR.pdf,21,47142,False,,1,www.urssaf.fr
RH/PPN-Annexes-Contrat-Interface-Identification-Schemas-XSD-FR.pdf,RH,PPN-Annexes-Contrat-Interface-Identification-Schemas-XSD-FR.pdf,16,30067,False,,1,www.urssaf.fr
RH/PPN-Contrat-Interface-Phase-Declaration-FR.pdf,RH,PPN-Contrat-Interface-Phase-Declaration-FR.pdf,49,88106,False,,0,
RH/PPN-Contrat-Interface-Phase-Identification-FR.pdf,RH,PPN-Contrat-Interface-Phase-Identification-FR.pdf,49,90122,False,,13,;www.7-zip.org;www.urssaf.fr
RH/PPN-FP-02-Natures-activite-FR.pdf,RH,PPN-FP-02-Natures-activite-FR.pdf,3,5732,False,,4,bofip.impots.gouv.fr;www.classement.atout-france.fr
RH/PPN-FP-03-Chiffre-affaires-FR.pdf,RH,PPN-FP-03-Chiffre-affaires-FR.pdf,2,4475,False,,7,bofip.impots.gouv.fr;www.legifrance.gouv.fr
RH/PPN-FP-04-TVA-FR.pdf,RH,PPN-FP-04-TVA-FR.pdf,3,8209,False,,6,www.legifrance.gouv.fr
RH/PPN-FP-06-Prelevement-FR.pdf.pdf,RH,PPN-FP-06-Prelevement-FR.pdf.pdf,6,12811,False,,0,
RH/PPN-FP-07-Declaration-reversement-FR.pdf,RH,PPN-FP-07-Declaration-reversement-FR.pdf,4,7507,False,,0,
RH/PPN-FP-08-Regularisation-FR.pdf,RH,PPN-FP-08-Regularisation-FR.pdf,9,21065,False,,0,
RH/PPN-FP-09-Obligations-info-FR.pdf,RH,PPN-FP-09-Obligations-info-FR.pdf,6,11356,False,,0,
RH/PPN-FP-Presentation-generale-FR.pdf,RH,PPN-FP-Presentation-generale-FR.pdf,4,8889,False,,19,www.legifrance.gouv.fr
RH/PPN-Guide-utilisateur-FR.pdf,RH,PPN-Guide-utilisateur-FR.pdf,17,22223,False,,3,plateforme-numerique.urssaf.fr;www.urssaf.fr
RH/vosdroits_F22570.pdf,RH,vosdroits_F22570.pdf,6,15351,False,,148,boss.gouv.fr;entreprendre.service-public.gouv.fr;net-entreprises.custhelp.com;travail-emploi.gouv.fr;www.insee.fr;www.legifrance.gouv.fr;www.urssaf.fr
securité rgpd informatique/bpi-cnil-rgpd_fiche-1_que-faire-quand-votre-entreprise-communique-vend-en-ligne.pdf,securité rgpd informatique,bpi-cnil-rgpd_fiche-1_que-faire-quand-votre-entreprise-communique-vend-en-ligne.pdf,8,5874,False,,5,www.cnil.fr;www.service-public.fr
securité rgpd informatique/bpi-cnil-rgpd_fiche_2_ameliorez-maitrisez-votre-relation-client_0.pdf,securité rgpd informatique,bpi-cnil-rgpd_fiche_2_ameliorez-maitrisez-votre-relation-client_0.pdf,8,7034,False,,3,pro.bloctel.fr;www.cnil.fr
securité rgpd informatique/bpi-cnil-rgpd_fiche_3_protegez-les-donnees-de-vos-collaborateurs.pdf,securité rgpd informatique,bpi-cnil-rgpd_fiche_3_protegez-les-donnees-de-vos-collaborateurs.pdf,8,6945,False,,1,www.cnil.fr
securité rgpd informatique/bpi-cnil-rgpd_guide-tpe-pme.pdf,securité rgpd informatique,bpi-cnil-rgpd_guide-tpe-pme.pdf,54,58597,False,,19,pro.bloctel.fr;www.bpifrance-lelab.fr;www.cnil.fr;www.cybermalveillance.gouv.fr;www.service-public.fr
securité rgpd informatique/check-list_rgpd_pour_les_tpe-pme.pdf,securité rgpd informatique,check-list_rgpd_pour_les_tpe-pme.pdf,4,5879,False,,6,cnil.fr;www.cnil.fr;www.ssi.gouv.fr
securité rgpd informatique/cnil_guide_securite_personnelle.pdf,securité rgpd informatique,cnil_guide_securite_personnelle.pdf,64,135634,False,,128,cyber.gouv.fr;ec.europa.eu;edpb.europa.eu;esante.gouv.fr;eucoc.cloud;guide-continuite-activite.sgdsn.gouv.fr;linc.cnil.fr;lincnil.github.io;mas.owasp.org;nmap.org;owasp.org;source.android.com;ssl-tools.net;support.apple.com;www.cert.ssi.gouv.fr;www.cirt.net;www.cnil.fr;www.cybermalveillance.gouv.fr;www.gnupg.org;www.legifrance.gouv.fr;www.ssllabs.com;www.tenable.com;www.zaproxy.org
securité rgpd informatique/gdpr_guide-for-processors_en.pdf,securité rgpd informatique,gdpr_guide-for-processors_en.pdf,19,40513,False,,52,ec.europa.eu;eur-lex.europa.eu;www.cnil.fr;www.legifrance.gouv.fr
securité rgpd informatique/guide_has_cnil_recommandations_ia.pdf,securité rgpd informatique,guide_has_cnil_recommandations_ia.pdf,61,161090,False,,24,dpi.sante.gouv.fr;drees.solidarites-sante.gouv.fr;has-sante.fr;linc.cnil.fr;twitter.com;www.calameo.com;www.cnil.fr;www.facebook.com;www.has-sante.fr;www.legifrance.gouv.fr;www.linkedin.com;www.transparence.sante.gouv.fr;www.youtube.com
securité rgpd informatique/guide_tiers_autorises.pdf,securité rgpd informatique,guide_tiers_autorises.pdf,14,35629,False,,19,lannuaire.service-public.fr;www.cnil.fr;www.data.gouv.fr;www.economie.gouv.fr;www.legifrance.gouv.fr;www.ssi.gouv.fr
securité rgpd informatique/ia_liste_de_verification.pdf,securité rgpd informatique,ia_liste_de_verification.pdf,4,17838,False,,0,
securité rgpd informatique/outil_d_auto-evaluation_mesure_d_audience.pdf,securité rgpd informatique,outil_d_auto-evaluation_mesure_d_audience.pdf,8,16491,False,,3,www.cnil.fr
securité rgpd informatique/plaquette_cybersecurite_2026_0.pdf,securité rgpd informatique,plaquette_cybersecurite_2026_0.pdf,6,14525,False,,2,cnil.fr;www.cnil.fr
securité rgpd informatique/recueil-procedures-tiers-autorises.pdf,securité rgpd informatique,recueil-procedures-tiers-autorises.pdf,74,164774,False,,0,
securité rgpd informatique/rgpd-guide_sous-traitant-cnil.pdf,securité rgpd informatique,rgpd-guide_sous-traitant-cnil.pdf,19,46570,False,,51,ec.europa.eu;www.cnil.fr;www.legifrance.gouv.fr
securité rgpd informatique/suis-je_concerne_-_les_principes_vd.pdf,securité rgpd informatique,suis-je_concerne_-_les_principes_vd.pdf,2,3683,False,,0,
securité rgpd informatique/synthese_des_contributions_questionnaire_modeles_ia.pdf,securité rgpd informatique,synthese_des_contributions_questionnaire_modeles_ia.pdf,21,72756,False,,4,arxiv.org;cve.mitre.org;datenschutz-hamburg.de
securité rgpd informatique/synthese_des_reponses_annotation_et_securite-ia_0.pdf,securité rgpd informatique,synthese_des_reponses_annotation_et_securite-ia_0.pdf,7,24891,False,,3,www.cnil.fr
